code,year,region
133000,1980,衡水地区
133001,1982,衡水市
133002,1993,冀州市
133003,1994,深州市
133021,1980,衡水县
133022,1980,冀县
133023,1980,枣强县
133024,1980,武邑县
133025,1980,深县
133026,1980,武强县
133027,1980,饶阳县
133028,1980,安平县
133029,1980,故城县
133030,1980,景县
133031,1980,阜城县
139001,1988,武安市
139002,1990,霸州市
139003,1992,遵化市
139004,1993,辛集市
139005,1993,藁城市
139006,1993,晋州市
139007,1993,新乐市
139008,1993,泊头市
139009,1993,任丘市
139010,1993,黄骅市
139011,1993,河间市
139012,1994,三河市
139012,1993,三河县
139013,1993,南宫市
139014,1993,沙河市
139015,1994,定州市
139016,1994,涿州市
139017,1994,安国市
139018,1994,高碑店市
139019,1994,鹿泉市
139020,1994,丰南市
140000,1980,山西省
140100,1980,太原市
140102,1980,南城区
140103,1980,北城区
140104,1980,河西区
140105,1997,小店区
140106,1997,迎泽区
140107,1997,杏花岭区
140108,1997,尖草坪区
140109,1997,万柏林区
140110,1997,晋源区
140111,1980,古交工矿区
140112,1980,南郊区
140113,1980,北郊区
140121,1980,清徐县
140122,1980,阳曲县
140123,1980,娄烦县
140181,1995,古交市
140200,1980,大同市
140202,1980,城区
140203,1980,矿区
140211,1980,南郊区
140212,1980,新荣区
140213,2018,平城区
140214,2018,云冈区
140215,2018,云州区
140221,1993,阳高县
140222,1993,天镇县
140223,1993,广灵县
140224,1993,灵丘县
140225,1993,浑源县
140226,1993,左云县
140227,1993,大同县
140300,1980,阳泉市
140302,1980,城区
140303,1980,矿区
140311,1980,郊区
140321,1983,平定县
140322,1983,盂县
140400,1980,长治市
140402,1980,城区
140403,2018,潞州区
140404,2018,上党区
140405,2018,屯留区
140406,2018,潞城区
140411,1980,郊区
140421,1983,长治县
140422,1983,潞城县
140423,1985,襄垣县
140424,1985,屯留县
140425,1985,平顺县
140426,1985,黎城县
140427,1985,壶关县
140428,1985,长子县
140429,1985,武乡县
140430,1985,沁县
140431,1985,沁源县
140481,1995,潞城市
140500,1985,晋城市
140502,1985,城区
140503,1985,郊区
140521,1985,沁水县
140522,1985,阳城县
140523,1985,高平县
140524,1985,陵川县
140525,1996,泽州县
140581,1995,高平市
140600,1988,朔州市
140602,1988,朔城区
140603,1988,平鲁区
140621,1988,山阴县
140622,1993,应县
140623,1993,右玉县
140624,1993,怀仁县
140681,2018,怀仁市
140700,1999,晋中市
140702,1999,榆次区
140721,1999,榆社县
140722,1999,左权县
140723,1999,和顺县
140724,1999,昔阳县
140725,1999,寿阳县
140726,1999,太谷县
140727,1999,祁县
140728,1999,平遥县
140729,1999,灵石县
140781,1999,介休市
140800,2000,运城市
140802,2000,盐湖区
140821,2000,临猗县
140822,2000,万荣县
140823,2000,闻喜县
140824,2000,稷山县
140825,2000,新绛县
140826,2000,绛县
140827,2000,垣曲县
140828,2000,夏县
140829,2000,平陆县
140830,2000,芮城县
140881,2000,永济市
140882,2000,河津市
140900,2000,忻州市
140902,2000,忻府区
140921,2000,定襄县
140922,2000,五台县
140923,2000,代县
140924,2000,繁峙县
140925,2000,宁武县
140926,2000,静乐县
140927,2000,神池县
140928,2000,五寨县
140929,2000,岢岚县
140930,2000,河曲县
140931,2000,保德县
140932,2000,偏关县
140981,2000,原平市
141000,2000,临汾市
141002,2000,尧都区
141021,2000,曲沃县
141022,2000,翼城县
141023,2000,襄汾县
141024,2000,洪洞县
141025,2000,古县
141026,2000,安泽县
141027,2000,浮山县
141028,2000,吉县
141029,2000,乡宁县
141030,2000,大宁县
141031,2000,隰县
141032,2000,永和县
141033,2000,蒲县
141034,2000,汾西县
141081,2000,侯马市
141082,2000,霍州市
141100,2003,吕梁市
141102,2003,离石区
141121,2003,文水县
141122,2003,交城县
141123,2003,兴县
141124,2003,临县
141125,2003,柳林县
141126,2003,石楼县
141127,2003,岚县
141128,2003,方山县
141129,2003,中阳县
141130,2003,交口县
141181,2003,孝义市
141182,2003,汾阳市
142100,1980,雁北地区
142121,1980,大同县
142121,1982,阳高县
142122,1982,天镇县
142122,1980,阳高县
142123,1982,广灵县
142123,1980,天镇县
142124,1980,广灵县
142124,1982,灵丘县
142125,1982,浑源县
142125,1980,灵丘县
142126,1980,浑源县
142126,1982,应县
142127,1980,怀仁县
142127,1982,山阴县
142128,1982,朔县
142128,1980,应县
142129,1982,平鲁县
142129,1980,山阴县
142130,1980,朔县
142130,1982,左云县
142131,1980,平鲁县
142131,1982,右玉县
142132,1982,大同县
142132,1980,左云县
142133,1982,怀仁县
142133,1980,右玉县
142200,1980,忻县地区
142200,1983,忻州地区
142201,1983,忻州市
142202,1993,原平市
142221,1980,忻县
142222,1982,定襄县
142222,1980,原平县
142223,1980,代县
142223,1982,五台县
142224,1980,繁峙县
142224,1982,原平县
142225,1982,代县
142225,1980,五台县
142226,1980,定襄县
142226,1982,繁峙县
142227,1980,静乐县
142227,1982,宁武县
142228,1982,静乐县
142228,1980,岢岚县
142229,1980,保德县
142229,1982,神池县
142230,1980,五寨县
142231,1980,河曲县
142231,1982,岢岚县
142232,1982,河曲县
142232,1980,偏关县
142233,1982,保德县
